cluster,grid_count,population_sum,population_share,representative_adm_by_grid,top5_adm_by_grid,representative_adm_by_population,top5_adm_by_population,max_prob_mean,uncertainty_mean,entropy_norm_mean,prob_margin_mean,population_demand_index_mean,life_welfare_index_mean,commerce_index_mean,medical_index_mean,education_index_mean,leisure_index_mean,commerce_facilities_sum,commerce_per_1000,medical_facilities_sum,medical_per_1000,education_facilities_sum,education_per_1000,life_welfare_facilities_sum,life_welfare_per_1000,leisure_facilities_sum,leisure_per_1000
1,59,253996.0,0.3814567069855735,성정2동(6),성정2동(6); 부성2동(6); 쌍용2동(6); 부성1동(5); 청룡동(5),"부성2동(35,140)","부성2동(35,140); 쌍용2동(33,615); 부성1동(32,139); 청룡동(21,183); 성정2동(19,870)",0.9882450037300539,0.011754996269946175,0.01633732053526806,0.9764966281071255,2.6060466517331826,1.9197765979228174,3.3767624245280055,2.419862557565246,3.2955986675139015,3.2887603886229435,16646.0,65.53646514118333,619.0,2.437046252696893,1207.0,4.752043339265185,223.0,0.8779665821509001,950.0,3.7402163813603364
2,86,162698.0,0.24434338853028723,신안동(11),신안동(11); 신방동(10); 부성1동(10); 청룡동(8); 일봉동(6),"청룡동(25,088)","청룡동(25,088); 신방동(20,346); 부성1동(18,116); 성정1동(13,202); 신안동(12,586)",0.9907430332024733,0.009256966797526904,0.012212793907272805,0.9815193586588827,1.8321430847969782,0.9303786022132006,1.227894717396755,-0.13348295533506105,1.408609952204774,0.9985362505805477,4708.0,28.937049011051148,0.0,0.0,495.0,3.042446741816126,184.0,1.1309296979680143,282.0,1.7332726892770653
3,41,97455.0,0.14636003472211792,목천읍(5),목천읍(5); 백석동(5); 성거읍(4); 부성2동(4); 성환읍(3),"부성2동(13,845)","부성2동(13,845); 백석동(12,366); 목천읍(9,751); 일봉동(9,660); 불당2동(7,892)",0.9684857565049565,0.03151424349504342,0.044012628473053476,0.937128031447858,2.2103576365562603,0.43879694295118865,1.8639424872709414,1.4841808280080782,1.9849132960919813,1.3778381944718836,3953.0,40.56231081011749,157.0,1.610999948694269,403.0,4.1352419065209585,53.0,0.5438407470114411,199.0,2.041968087835411
4,1260,44111.0,0.06624685743807238,광덕면(150),광덕면(150); 성환읍(143); 목천읍(116); 북면(107); 동면(105),"성환읍(6,416)","성환읍(6,416); 목천읍(5,288); 성거읍(4,171); 풍세면(3,767); 직산읍(3,693)",0.9999991384389443,8.61561055772008e-07,3.6926748999343247e-06,0.9999982863208393,0.07388429369619595,-0.15989011477339865,-0.17891721513257713,-0.13348295533506102,-0.23906626584510396,-0.23148103040619053,2093.0,47.448482237990525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,134,35356.0,0.05309840836935202,목천읍(15),목천읍(15); 직산읍(13); 성환읍(12); 성거읍(10); 풍세면(10),"직산읍(5,158)","직산읍(5,158); 목천읍(3,938); 부성2동(3,072); 신안동(2,962); 성환읍(2,816)",0.9743830769679152,0.02561692303208474,0.033318390546552175,0.9490148199438321,0.8039541562962185,-0.15989011477339868,0.3040819257794219,-0.03503488812905646,0.5171574716742237,-0.07027965549960379,1505.0,42.5670324697364,29.0,0.8202285326394388,194.0,5.487046045932798,0.0,0.0,41.0,1.1596334426971375
6,203,33571.0,0.050417656617477,목천읍(22),목천읍(22); 입장면(21); 북면(19); 성거읍(17); 직산읍(15),"성거읍(6,535)","성거읍(6,535); 신안동(3,287); 불당1동(2,861); 일봉동(2,786); 청룡동(2,472)",0.9986222737121204,0.001377726287879438,0.0025844333473878578,0.9972506014116332,0.55576914170167,0.27328838150528795,0.16368644783843325,-0.13348295533506102,-0.23906626584510393,0.3502520835373009,1478.0,44.02609395013553,0.0,0.0,0.0,0.0,177.0,5.272407732864675,242.0,7.208602663012719
7,9,22023.0,0.033074619513469836,불당1동(2),불당1동(2); 신안동(2); 문성동(1); 청룡동(1); 쌍용3동(1),"신안동(6,070)","신안동(6,070); 쌍용3동(5,306); 불당2동(3,669); 문성동(2,204); 불당1동(2,102)",0.9920948432274577,0.007905156772542395,0.015074687152478977,0.9841896864549151,2.291947192198923,5.626661780739894,4.145738120258811,5.035947573348352,5.729685047471487,5.801226438891062,4843.0,219.9064614266903,284.0,12.895609135903374,638.0,28.969713481360397,68.0,3.0876810607092584,310.0,14.076193070880443
8,29,10762.0,0.016162605240156308,목천읍(5),목천읍(5); 풍세면(4); 신안동(3); 직산읍(2); 성환읍(2),"쌍용3동(4,912)","쌍용3동(4,912); 신안동(1,618); 목천읍(1,127); 풍세면(913); 입장면(669)",0.9682540175449909,0.03174598245500919,0.03514786477496398,0.9365879781182854,0.9115941420465169,0.558624189591794,0.6088961553434573,0.7809357092576446,0.02871320052672803,0.20739893072491358,454.0,42.18546738524437,44.0,4.088459394164653,17.0,1.5796320386545253,28.0,2.601746887195689,29.0,2.6946664188812486
9,4,5886.0,0.008839722583493777,청룡동(1),청룡동(1); 쌍용1동(1); 백석동(1); 봉명동(1),"쌍용1동(3,345)","쌍용1동(3,345); 봉명동(1,319); 백석동(1,017); 청룡동(205)",1.0,0.0,1.0770791830672096e-18,1.0,1.952331951642757,1.3848201838009575,1.5663916694313915,9.226978194651227,1.2234875853028169,0.9102887257263141,426.0,72.37512742099898,31.0,5.2667346245327895,18.0,3.058103975535168,16.0,2.7183146449201496,18.0,3.058103975535168
10,727,0.0,0.0,광덕면(159),광덕면(159); 북면(102); 병천면(95); 목천읍(89); 성환읍(54),광덕면(0),광덕면(0); 동면(0); 목천읍(0); 병천면(0); 부성1동(0),0.9999992205856126,7.794143872530412e-07,5.099339001408634e-06,0.9999984411712535,-1.0597854281508312,-0.15989011477339868,-0.40030867246904295,-0.13348295533506102,-0.23906626584510396,-0.2314810304061905,0.0,,0.0,,0.0,,0.0,,0.0,
