GRID_CD,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection,center_lon,center_lat,center_x_central,center_y_central,center_adm_cd,center_adm_nm,adm_nm_norm,pop_2024_grid,households_2026_adm,pop_2026_adm,pop_male_2026_adm,pop_female_2026_adm,pop_2024_adm_sum,grid_count_in_adm,pop_ratio_in_adm_2024,pop_2026_est,pop_2026_est_int,pop_male_2026_est,pop_male_2026_est_int,pop_female_2026_est,pop_female_2026_est_int,households_2026_est,households_2026_est_int,fallback_admin_population_added,fallback_admin_names,fallback_pop_2026_est_added,fallback_pop_male_2026_est_added,fallback_pop_female_2026_est_added,fallback_households_2026_est_added,commerce_total,commerce_major_과학_기술,commerce_major_교육,commerce_major_보건의료,commerce_major_부동산,commerce_major_소매,commerce_major_수리_개인,commerce_major_숙박,commerce_major_시설관리_임대,commerce_major_예술_스포츠,commerce_major_음식,commerce_middle_가구_소매,commerce_middle_가전_통신_소매,commerce_middle_가전제품_수리,commerce_middle_가정용품_대여,commerce_middle_고용_알선,commerce_middle_광고,commerce_middle_교육_지원,commerce_middle_구내식당_뷔페,commerce_middle_기술_서비스,commerce_middle_기타_가정용품_수리,commerce_middle_기타_간이,commerce_middle_기타_개인,commerce_middle_기타_교육,commerce_middle_기타_보건,commerce_middle_기타_사업_서비스,commerce_middle_기타_상품_소매,commerce_middle_기타_생활용품_소매,commerce_middle_기타_숙박,commerce_middle_기타_전문_과학,commerce_middle_담배_소매,commerce_middle_도서관_사적지,commerce_middle_동남아시아,commerce_middle_모터사이클_소매,commerce_middle_모터사이클_수리,commerce_middle_법무관련,commerce_middle_병원,commerce_middle_본사_경영_컨설팅,commerce_middle_부동산_서비스,commerce_middle_비알코올,commerce_middle_사무_지원,commerce_middle_사진_촬영,commerce_middle_산업용품_대여,commerce_middle_서양식,commerce_middle_섬유_의복_신발_소매,commerce_middle_세탁,commerce_middle_수의,commerce_middle_스포츠_서비스,commerce_middle_시계_귀금속_소매,commerce_middle_시설관리,commerce_middle_시장_조사,commerce_middle_식료품_소매,commerce_middle_식물_소매,commerce_middle_안경_정밀기기_소매,commerce_middle_애완동물_용품_소매,commerce_middle_여행사_보조,commerce_middle_연료_소매,commerce_middle_오락용품_소매,commerce_middle_욕탕_신체관리,commerce_middle_운송장비_대여,commerce_middle_유원지_오락,commerce_middle_음료_소매,commerce_middle_의약_화장품_소매,commerce_middle_의원,commerce_middle_이용_미용,commerce_middle_인쇄_제품제작,commerce_middle_일반_교육,commerce_middle_일반_숙박,commerce_middle_일식,commerce_middle_자동차_부품_소매,commerce_middle_자동차_수리_세차,commerce_middle_장례식장,commerce_middle_장식품_소매,commerce_middle_전문_디자인,commerce_middle_조경_유지,commerce_middle_종합_소매,commerce_middle_주점,commerce_middle_중고_상품_소매,commerce_middle_중식,commerce_middle_철물_건설자재_소매,commerce_middle_청소_방제,commerce_middle_컴퓨터_수리,commerce_middle_통신장비_수리,commerce_middle_한식,commerce_middle_회계_세무,hospital_total,hospital_type_병원,hospital_type_보건소,hospital_type_보건지소,hospital_type_보건진료소,hospital_type_상급종합,hospital_type_요양병원,hospital_type_의원,hospital_type_정신병원,hospital_type_종합병원,hospital_type_치과병원,hospital_type_치과의원,hospital_type_한방병원,hospital_type_한의원,hospital_doctor_sum,pharmacy_total,address_facility_total,admin_agency_count,elderly_welfare_count,good_price_shop_count,outdoor_shelter_count,school_count,shared_medical_equipment_count,theater_count,underpass_count,elderly_welfare_시설급여제공_장기요양기관,elderly_welfare_재가급여제공_장기요양기관,elderly_welfare_재가장기요양기관,good_price_shop_기타비요식업,good_price_shop_기타요식업,good_price_shop_미용업,good_price_shop_세탁업,good_price_shop_숙박업,good_price_shop_양식,good_price_shop_이미용업,good_price_shop_일식,good_price_shop_중식,good_price_shop_한식,outdoor_shelter_4각_원두막,outdoor_shelter_그늘막_및_벤치,outdoor_shelter_그늘막_파고라,outdoor_shelter_막구조_파고라,outdoor_shelter_사각_파고라A,outdoor_shelter_사각_파고라B,outdoor_shelter_사각정,outdoor_shelter_사각정자,outdoor_shelter_사각퍼걸러,outdoor_shelter_육각정,outdoor_shelter_육각정자,outdoor_shelter_정자,outdoor_shelter_정자_1개,outdoor_shelter_정자_2개,outdoor_shelter_정자_3개,outdoor_shelter_정자_7개,outdoor_shelter_정자_8개,outdoor_shelter_캐노피_파고라,outdoor_shelter_파고라,outdoor_shelter_파고라_10개,outdoor_shelter_파고라_16개,outdoor_shelter_파고라_1개,outdoor_shelter_파고라_2개,outdoor_shelter_파고라_3개,outdoor_shelter_파고라_4개,outdoor_shelter_파고라_5개,outdoor_shelter_파고라_6개,outdoor_shelter_파고라_8개,outdoor_shelter_파고라_9개,outdoor_shelter_파라솔_그늘막,outdoor_shelter_파라솔의자,outdoor_shelter_팔각정,outdoor_shelter_팔각정_1개,outdoor_shelter_팔각정자,outdoor_shelter_팔각정자_1개,outdoor_shelter_퍼걸러,school_각종학교,school_고등학교,school_유치원,school_중학교,school_초등학교,school_특수학교,theater_영업_정상,theater_폐업,underpass_지하도,underpass_지하차도,population_demand_index,life_welfare_index,commerce_index,medical_index,education_index,leisure_index,commerce_facilities_total,commerce_per_1000,medical_facilities_total,medical_per_1000,education_facilities_total,education_per_1000,life_welfare_facilities_total,life_welfare_per_1000,leisure_facilities_total,leisure_per_1000,gmm_input_scaled_population_demand_index,gmm_input_scaled_life_welfare_index,gmm_input_scaled_commerce_index,gmm_input_scaled_medical_index,gmm_input_scaled_education_index,gmm_input_scaled_leisure_index,gmm_k,gmm_cluster_raw,gmm_cluster,gmm_prob_1,gmm_prob_2,gmm_prob_3,gmm_prob_4,gmm_prob_5,gmm_prob_6,gmm_prob_7,gmm_prob_8,gmm_prob_9,gmm_prob_10,gmm_max_prob,gmm_second_prob,gmm_prob_margin,gmm_uncertainty,gmm_entropy_norm
다바86b64a,986500.0,1864000.0,987000.0,1864500.0,986750.0,1864250.0,500,official_sgis_100m_center_in_cheonan,127.35151748354288,36.77627900106729,231380.64616822437,464243.0272367693,34011370,동면,동면,53.0,1134,1872,1024,848,2367.0,171,0.0223912125052809,41.91634980988593,42,22.92860160540769,23,18.987748204478244,19,25.39163498098859,25,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5663870263250774,0.34790078921291945,-0.15656331006947496,-0.13348295533506102,-0.239066265845104,0.2763098735801277,1,23.809523809523807,0,0.0,0,0.0,1,23.809523809523807,1,23.809523809523807,0.5667977790568246,0.5812249549387113,-0.19019873279801056,-0.19136898366790048,-0.2797068771949649,0.3596262950444389,10,7,6,2.8732901119334582e-34,5.4778923041259976e-06,1.0152565770935836e-17,0.0,0.0,0.999994518907909,1.9427366456418435e-116,3.1997869333339096e-09,0.0,0.0,0.999994518907909,5.4778923041259976e-06,0.9999890410156049,5.481092090975359e-06,3.1228892002697644e-05
다바65a68b,965000.0,1868500.0,965500.0,1869000.0,965250.0,1868750.0,500,official_sgis_100m_center_in_cheonan,127.11038168339404,36.81629971512123,209848.8456875104,468632.33232083137,34012620,불당1동,불당1동,809.0,13125,31504,15826,15678,32929.0,9,0.0245680099608248,773.9905858058246,774,388.8133256400133,389,385.1772601658113,385,322.45513073582555,323,0,,0,0,0,0,599,72,122,46,23,74,61,0,23,32,146,0,4,2,3,0,7,5,0,12,1,23,0,50,2,0,3,1,0,1,0,4,1,0,0,7,3,17,23,20,0,13,2,8,9,0,2,16,3,2,0,6,3,3,4,7,1,7,6,0,12,0,21,41,50,0,67,0,18,0,1,0,1,8,0,6,6,2,6,0,9,0,1,64,5,43,1,0,0,0,0,0,27,0,0,1,7,0,7,82,8,7,1,1,3,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.820968111715977,5.020364529871181,4.065964273796076,5.198168017308632,6.8494379912740415,3.799874310700523,599,773.9018087855297,51,65.89147286821706,122,157.62273901808786,4,5.167958656330749,32,41.343669250645995,1.8222887062768465,8.38733695963091,4.93947944850442,7.452398157579968,8.013823716647353,4.945660110822951,10,6,7,4.532140061494025e-05,0.0,5.73934850394269e-19,0.0,0.0,0.0,0.9999546785993859,4.465849982930952e-162,0.0,0.0,0.9999546785993859,4.532140061494025e-05,0.9999093571987709,4.532140061408452e-05,0.00021654480541981577
다바80a63a,980000.0,1863000.0,980500.0,1863500.0,980250.0,1863250.0,500,official_sgis_100m_center_in_cheonan,127.27870332573296,36.7671510800476,224883.31844800105,463208.66440021165,34011360,병천면,병천면,49.0,3622,5833,3217,2616,6590.0,224,0.0074355083459787,43.37132018209408,43,23.920030349013658,24,19.451289833080423,20,26.93141122913505,27,0,,0,0,0,0,26,4,2,0,0,7,3,0,2,2,6,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5896093174436448,-0.1598901147733987,0.8828753330961241,-0.13348295533506102,1.1873583662303782,0.877284182344443,26,604.6511627906976,0,0.0,2,46.51162790697674,0,0.0,2,46.51162790697674,0.5900369113441882,-0.267122489042238,1.0725486673665048,-0.19136898366790048,1.3892060410764815,1.1418139211233471,10,3,5,1.691574026043465e-27,0.3073395896466472,3.551027083151581e-11,0.0,0.6926594945057782,0.0,7.759685505293161e-101,9.158120642925433e-07,0.0,0.0,0.6926594945057782,0.3073395896466472,0.38531990485913103,0.30734050549422176,0.2679461285257481
다바74b70a,974500.0,1870000.0,975000.0,1870500.0,974750.0,1870250.0,500,official_sgis_100m_center_in_cheonan,127.21684482584745,36.83012287531602,219344.58820604064,470182.60668624,34011110,목천읍,목천읍,0.0,11190,21741,11164,10577,23549.0,256,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.059785428150831,-0.1598901147733987,-0.4003086724690429,-0.13348295533506102,-0.239066265845104,-0.2314810304061905,0,,0,,0,,0,,0,,-1.0605540011220433,-0.267122489042238,-0.48630935433007566,-0.19136898366790048,-0.2797068771949649,-0.30128009636219716,10,8,10,3.2957552833042574e-93,6.547915199914008e-20,1.708631404156154e-48,7.79414359563903e-07,1.2561511615746038e-16,2.5414863000271514e-14,6.581935423894396e-202,2.265657419683699e-25,0.0,0.9999992205856127,0.9999992205856127,7.79414359563903e-07,0.9999984411712531,7.794143872530412e-07,5.099339001408633e-06
다바77a64a,977000.0,1864000.0,977500.0,1864500.0,977250.0,1864250.0,500,official_sgis_100m_center_in_cheonan,127.2450590774775,36.77609849635495,221876.9293191402,464193.3737750424,34011110,목천읍,목천읍,155.0,11190,21741,11164,10577,23549.0,256,0.0065820204679604,143.09970699392755,143,73.48167650431016,73,69.6180304896174,70,73.65280903647714,74,0,,0,0,0,0,8,0,1,0,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0919866300065495,-0.1598901147733987,0.7124882441701881,-0.13348295533506102,0.2465826487116048,-0.2314810304061905,8,55.94405594405595,0,0.0,1,6.993006993006993,0,0.0,0,0.0,1.092778555793086,-0.267122489042238,0.865556311466044,-0.19136898366790048,0.28850102459154015,-0.30128009636219716,10,3,5,9.874670436915777e-21,0.011623865200780181,5.841343377915359e-10,0.0,0.9883760732434971,0.0,1.9781515738672813e-97,6.097158840149519e-08,0.0,0.0,0.9883760732434971,0.011623865200780181,0.9767522080427169,0.011623926756502923,0.027507302445497418
다바69b75a,969500.0,1875000.0,970000.0,1875500.0,969750.0,1875250.0,500,official_sgis_100m_center_in_cheonan,127.16057609635162,36.87504860606953,214316.50622259543,475158.3292399538,34012120,성거읍,성거읍,715.0,10426,21270,11242,10028,20890.0,125,0.0342269028243178,728.0062230732408,728,384.7788415509813,385,343.22738152225946,343,356.8496888463379,357,0,,0,0,0,0,19,2,8,0,1,3,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.8319619419023618,-0.1598901147733987,0.5313979760504254,-0.13348295533506102,2.727934552714591,-0.2314810304061905,19,26.0989010989011,0,0.0,10,13.736263736263735,0,0.0,0,0.0,1.833290509360864,-0.267122489042238,0.6455613490246731,-0.19136898366790048,3.1916759658028018,-0.30128009636219716,10,5,2,7.13827705596053e-11,0.9974575005718074,1.4828231729379413e-05,0.0,0.0025276711250676893,0.0,2.995511833458445e-63,1.2792839350142609e-14,0.0,0.0,0.9974575005718074,0.0025276711250676893,0.9949298294467397,0.002542499428192624,0.007739461731264667
다바76b77b,976500.0,1877500.0,977000.0,1878000.0,976750.0,1877750.0,500,official_sgis_100m_center_in_cheonan,127.23904293243602,36.89778324352644,221306.07669783765,477695.9635477273,34012310,입장면,입장면,48.0,4155,7344,3997,3347,10021.0,174,0.0047899411236403,35.17732761201477,35,19.145394671190505,19,16.03193294082427,16,19.90220536872568,20,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4749433133307853,0.34790078921291945,-0.1663566265697653,-0.13348295533506102,-0.239066265845104,0.2763098735801277,1,28.57142857142857,0,0.0,0,0.0,1,28.57142857142857,1,28.57142857142857,0.47528774965137244,0.5812249549387113,-0.20209600545671014,-0.19136898366790048,-0.2797068771949649,0.3596262950444389,10,7,6,3.274426876867098e-36,4.796045405474297e-06,1.7916519484293148e-18,0.0,0.0,0.999995201450052,2.2727223668097805e-119,2.504542138945905e-09,0.0,0.0,0.999995201450052,4.796045405474297e-06,0.9999904054046466,4.798549947948594e-06,2.7616246288025897e-05
다바77b80a,977500.0,1880000.0,978000.0,1880500.0,977750.0,1880250.0,500,official_sgis_100m_center_in_cheonan,127.2501933226508,36.92034356935115,222293.35546613147,480202.1711363588,34012310,입장면,입장면,73.0,4155,7344,3997,3347,10021.0,174,0.0072847021255363,53.498852409939126,53,29.11695439576889,29,24.381898014170243,24,30.267937331603637,30,0,,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6596193852970833,0.34790078921291945,0.22976394905852876,-0.13348295533506102,-0.239066265845104,0.2763098735801277,5,94.33962264150944,0,0.0,0,0.0,1,18.867924528301884,1,18.867924528301884,0.6600977515940343,0.5812249549387113,0.2791254983955473,-0.19136898366790048,-0.2797068771949649,0.3596262950444389,10,7,6,1.0177729399126658e-31,7.980626538709958e-06,3.408865856364778e-16,0.0,0.0,0.9999920155607951,1.2249769779673473e-110,3.812666610238712e-09,0.0,0.0,0.9999920155607951,7.980626538709958e-06,0.9999840349342564,7.984439204911098e-06,4.41846209237511e-05
다바73a77b,973000.0,1877500.0,973500.0,1878000.0,973250.0,1877750.0,500,official_sgis_100m_center_in_cheonan,127.19975953091244,36.89769047349892,217804.73467737404,477677.6184413528,34012120,성거읍,성거읍,13.0,10426,21270,11242,10028,20890.0,125,0.0006223073240785,13.236476783149833,13,6.99597893729057,7,6.240497845859262,6,6.488176160842508,7,0,,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305835060848342,-0.1598901147733987,-0.20108443572285273,-0.13348295533506102,-0.239066265845104,-0.2314810304061905,3,230.76923076923077,0,0.0,0,0.0,0,0.0,0,0.0,0.03060568572187895,-0.267122489042238,-0.24428459543246708,-0.19136898366790048,-0.2797068771949649,-0.30128009636219716,10,0,4,1.598251917565731e-53,4.4050093608718655e-13,2.3649307317773205e-29,0.9999999790565932,1.5156910268044328e-10,2.079139740742364e-08,1.113259901957615e-151,6.135179810408609e-18,0.0,0.0,0.9999999790565932,2.079139740742364e-08,0.9999999582651958,2.0943406786599894e-08,1.703112982248549e-07
다바66b80b,966500.0,1880500.0,967000.0,1881000.0,966750.0,1880750.0,500,official_sgis_100m_center_in_cheonan,127.12667340822271,36.92452685052805,211286.5489239876,480644.672301196,34012110,성환읍,성환읍,123.0,11145,21420,11139,10281,27407.0,230,0.0044879045499324,96.13091545955412,96,49.99076878169811,50,46.14014667785602,46,50.0176962089977,50,0,,0,0,0,0,15,0,1,0,0,2,5,0,1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9105227388447052,-0.1598901147733987,0.5738492629173684,-0.13348295533506102,0.301751150547214,0.38308704369375574,15,156.25,0,0.0,1,10.416666666666666,0,0.0,1,10.416666666666666,0.911183064178647,-0.267122489042238,0.6971326971531361,-0.19136898366790048,0.35304802085391124,0.49860025781221584,10,3,5,1.0879562415652702e-23,0.019926682735457044,9.092440967648303e-11,0.0,0.9800719944343617,0.0,2.9360431019979716e-102,1.3227392569462071e-06,0.0,0.0,0.9800719944343617,0.019926682735457044,0.9601453116989046,0.01992800556563834,0.04246220533337401
