연번,기관명,소재지도로명주소,전화번호,데이터기준일자
1,충청남도 천안시청,충청남도 천안시 서북구 번영로 156,1422-36,2025-11-28
2,충청남도 서북구 보건소,충청남도 천안시 서북구 번영로 156,041-521-2552,2025-11-28
3,충청남도 동남구 보건소,충청남도 천안시 동남구 버들로 34,041-521-2651,2025-11-28
4,충청남도 천안시 농업기술센터,충청남도 천안시 동남구 목천읍 목천안터1길 15,041-521-2962,2025-11-28
5,충청남도 천안시 맑은물사업본부,충청남도 천안시 동남구 용곡2길 141,041-521-3111,2025-11-28
6,충청남도 천안시 공원녹지사업본부,충청남도 천안시 동남구 천안대로 400,041-521-2711,2025-11-28
7,충청남도 천안시 도서관본부,충청남도 천안시 동남구 청수16로 5-10,041-521-3711,2025-11-28
8,충청남도 천안시 사적관리소,충청남도 천안시 동남구 병천면 유관순길 38,041-521-2821,2025-11-28
9,충청남도 천안시 천안박물관,충청남도 천안시 동남구 천안삼거리길 27,041-521-2891,2025-11-28
10,충청남도 천안시 농수산물도매시장관리사업소,충청남도 천안시 서북구 천안대로 1347,041-521-2841,2025-11-28
11,충청남도 천안시 차량등록사업소,충청남도 천안시 동남구 천안대로 400,041-521-3640,2025-11-28
12,충청남도 천안시 동남구청,충청남도 천안시 동남구 옛시청길 39,041-521-4020,2025-11-28
13,충청남도 천안시 동남구 목천읍 행정복지센터,충청남도 천안시 동남구 목천읍 서리1길 41-7,041-521-4651,2025-11-28
14,충청남도 천안시 동남구 풍세면 행정복지센터,충청남도 천안시 동남구 풍세면 상정1길 3,041-521-4681,2025-11-28
15,충청남도 천안시 동남구 광덕면 행정복지센터,충청남도 천안시 동남구 광덕면 신흥리3길 33,041-521-4701,2025-11-28
16,충청남도 천안시 동남구 북면 행정복지센터,충청남도 천안시 동남구 북면 위례성로 724,041-521-4721,2025-11-28
17,충청남도 천안시 동남구 성남면 행정복지센터,충청남도 천안시 동남구 성남면 신사대화로 115-8,041-521-4741,2025-11-28
18,충청남도 천안시 동남구 수신면 행정복지센터,충청남도 천안시 동남구 수신면 수신로 431,041-521-4761,2025-11-28
19,충청남도 천안시 동남구 병천면 행정복지센터,충청남도 천안시 동남구 병천면 병천2로 57,041-521-4781,2025-11-28
20,충청남도 천안시 동남구 동면 행정복지센터,충청남도 천안시 동남구 동면 동산1길 63,041-521-4801,2025-11-28
21,충청남도 천안시 동남구 중앙동 행정복지센터,충청남도 천안시 동남구 원성천1길 17,041-521-4821,2025-11-28
22,충청남도 천안시 동남구 문성동 행정복지센터,충청남도 천안시 동남구 문화로 15,041-521-4841,2025-11-28
23,충청남도 천안시 동남구 원성1동 행정복지센터,충청남도 천안시 동남구 충절로 130,041-521-4861,2025-11-28
24,충청남도 천안시 동남구 원성2동 행정복지센터,충청남도 천안시 동남구 고재15길 15,041-521-4881,2025-11-28
25,충청남도 천안시 동남구 봉명동 행정복지센터,충청남도 천안시 동남구 봉정로 39,041-521-4901,2025-11-28
26,충청남도 천안시 동남구 일봉동 행정복지센터,충청남도 천안시 동남구 신용로 48,041-521-4921,2025-11-28
27,충청남도 천안시 동남구 신방동 행정복지센터,충청남도 천안시 동남구 천안천변길 129-41,041-521-4941,2025-11-28
28,충청남도 천안시 동남구 청룡동 행정복지센터,충청남도 천안시 동남구 청수14로 99,041-521-4961,2025-11-28
29,충청남도 천안시 동남구 신안동 행정복지센터,충청남도 천안시 동남구 신부3길 16-6,041-521-4981,2025-11-28
30,충청남도 천안시 서북구청,충청남도 천안시 서북구 성거읍 봉주로 75,041-521-6020,2025-11-28
31,충청남도 천안시 서북구 성환읍 행정복지센터,충청남도 천안시 서북구 성환읍 성환13길 7,041-521-6751,2025-11-28
32,충청남도 천안시 서북구 성거읍 행정복지센터,충청남도 천안시 서북구 성거읍 봉주로 469,041-521-6781,2025-11-28
33,충청남도 천안시 서북구 직산읍 행정복지센터,충청남도 천안시 서북구 직산읍 삼은4길 2,041-521-6811,2025-11-28
34,충청남도 천안시 서북구 입장면 행정복지센터,충청남도 천안시 서북구 입장면 입장로 129,041-521-6841,2025-11-28
35,충청남도 천안시 서북구 성정1동 행정복지센터,충청남도 천안시 서북구 성정8길 5,041-521-6861,2025-11-28
36,충청남도 천안시 서북구 성정2동 행정복지센터,충청남도 천안시 서북구 서부8길 29,041-521-6881,2025-11-28
37,충청남도 천안시 서북구 쌍용1동 행정복지센터,충청남도 천안시 서북구 미라10길 21,041-521-6901,2025-11-28
38,충청남도 천안시 서북구 쌍용2동 행정복지센터,충청남도 천안시 서북구 쌍용14길 70,041-521-6921,2025-11-28
39,충청남도 천안시 서북구 쌍용3동 행정복지센터,충청남도 천안시 서북구 월봉로 138,041-521-6941,2025-11-28
40,충청남도 천안시 서북구 백석동 행정복지센터,충청남도 천안시 서북구 번영로 208,041-521-6961,2025-11-28
41,충청남도 천안시 서북구 불당1동 행정복지센터,충청남도 천안시 서북구 봉서산로 64,041-521-6671,2025-11-28
42,충청남도 천안시 서북구 불당2동 행정복지센터,충청남도 천안시 서북구 불당25로 182,041-521-6291,2025-11-28
43,충청남도 천안시 서북구 부성1동 행정복지센터,충청남도 천안시 서북구 부대중앙길 51,041-521-6981,2025-11-28
44,충청남도 천안시 서북구 부성2동 행정복지센터,충청남도 천안시 서북구 노태산로 133,041-521-6691,2025-11-28
