번호,인허가일자,영업상태명,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명
1,1993-04-19,폐업,330-943,충청남도 천안시 동남구 신부동 454-1번지,충청남도 천안시 동남구 만남로 18 (신부동),,피카디리극장
2,1971-10-21,폐업,330-010,충청남도 천안시 동남구 대흥동 102-10번지,충청남도 천안시 동남구 명동길 47 (대흥동),,아카데미극장
3,1991-12-24,폐업,330-020,충청남도 천안시 동남구 문화동 169-3번지,충청남도 천안시 동남구 명동길 50 (문화동),,시네마타운
4,1998-08-22,폐업,331-946,충청남도 천안시 서북구 쌍용동 390번지,충청남도 천안시 서북구 서부대로 296-10 (쌍용동),331-946,동방시네마
5,2005-07-15,폐업,331-834,충청남도 천안시 서북구 성거읍 송남리 59-1번지,충청남도 천안시 서북구 성거읍 송남2길 22,,천안자동차극장(제1관)
6,2005-07-15,폐업,331-834,충청남도 천안시 서북구 성거읍 송남리 59-1번지,충청남도 천안시 서북구 성거읍 송남2길 22,,천안자동차극장(제2관)
7,2007-04-02,영업/정상,,충청남도 천안시 동남구 대흥동 102-10 오렌지씨네스타 5층,"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",,CGV천안 8관
8,2014-12-23,영업/정상,,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트(1관)
9,2014-12-23,영업/정상,,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트(2관)
10,2014-12-23,영업/정상,,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트(3관)
11,2014-12-23,영업/정상,,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트(5관)
12,2014-12-23,영업/정상,,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트(7관)
13,2014-12-23,영업/정상,,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",31168,CGV천안펜타포트(8관)
