순번,설치주소,설치위치,설치년도,설치형상,관리부서
1,충청남도 천안시 동남구 천안대로357,천안생활체육공원 산책로 ,2011,팔각정,체육진흥과
2,충청남도 천안시 동남구 천안대로357,천안생활체육공원 야외무대,2011,막구조 파고라,체육진흥과
3,충청남도 천안시 동남구 천안대로357,천안생활체육공원 인조잔디축구장,2012,막구조 파고라,체육진흥과
4,충청남도 천안시 동남구 천안대로357,천안생활체육공원 다목적구장,2011,그늘막 파고라,체육진흥과
5,충청남도 천안시 동남구 천안대로357,천안생활체육공원 X-게임장,2011,사각 파고라A,체육진흥과
6,충청남도 천안시 동남구 천안대로357,천안생활체육공원 X-게임장,2011,사각 파고라B,체육진흥과
7,충청남도 천안시 동남구 천안대로357,천안생활체육공원 천연잔디축구장,2011,사각 파고라B,체육진흥과
8,충청남도 천안시 동남구 천안대로357,천안생활체육공원 천연잔디축구장,2023,캐노피 파고라,체육진흥과
9,충청남도 천안시 서북구 성성2길 66,성성호수공원 로자벨 앞 (1개),2022,파라솔(그늘막),환경정책과
10,충청남도 천안시 서북구 성성2길 66,성성호수공원 골프장 앞 (2개),2022,파라솔(그늘막),환경정책과
11,충청남도 천안시 서북구 성성2길 66,성성호수공원 스타벅스 앞 (2개),2022,파라솔(그늘막),환경정책과
12,충청남도 천안시 서북구 성성2길 66,성성호수공원 선셋 라운지 앞 (2개) ,2022,파라솔(그늘막),환경정책과
13,충청남도 천안시 서북구 성성2길 66,성성호수공원 데크광장 1번(생태탐방로 북측) (2개) ,2022,파라솔(그늘막),환경정책과
14,충청남도 천안시 서북구 성성2길 66,성성호수공원 데크광장 2번(생태탐방로 북측) (2개),2022,파라솔(그늘막),환경정책과
15,충청남도 천안시 서북구 성성2길 66,성성호수공원 숲놀이터 (2개) ,2022,파라솔(그늘막),환경정책과
16,충청남도 천안시 서북구 성성2길 66,성성호수공원 생태도랑 (1개),2022,파라솔(그늘막),환경정책과
17,충청남도 천안시 서북구 성성2길 66,성성호수공원 장수촌 앞 (1개),2022,팔각정,환경정책과
18,충청남도 천안시 서북구 성성2길 66,성성호수공원 선셋라운지 앞 (1개),2022,팔각정,환경정책과
19,충청남도 천안시 서북구 성성2길 66,성성호수공원 애월빵집 앞 (1개),2017,4각 원두막,환경정책과
20,충청남도 천안시 동남구 신방동 719,신방쉼터,2015,정자(2개),정원녹지과
21,충청남도 천안시 동남구 신방동 719,신방쉼터,2015,파고라(10개),정원녹지과
22,충청남도 천안시 동남구 구성동 435-1,구성1공원,2015,정자(1개),정원녹지과
23,충청남도 천안시 동남구 목천읍 남화리 61-1일원,광복의 동산,,정자(1개),정원녹지과
24,충청남도 천안시 동남구 목천읍 동평리 45-2 일원,보은의 동산,,정자(1개),정원녹지과
25,충청남도 천안시 동남구 용곡동 498 일원,신방체육관 녹색쉼터,2020,정자(1개),정원녹지과
