현황도형 관리번호,라벨명,면적_도형,길이_도형
44130UQ155PS202406110125,청사(국가),2800.940036,208.0289987
44130UQ155PS202405210035,초등학교,16140.258,598.3691676
44130UQ155PS202405210036,유치원,4090.009507,257.5404186
44130UQ155PS202408210008,고등학교,17460.36663,530.3620307
44130UQ155PS202408210009,유치원,4001.480657,262.0983607
44130UQ155PS200403100001,대학,40150.00323,1131.075429
44130UQ155PS200202230001,청사(국가),76326.84098,1132.839726
44130UQ155PS200812010912,기타연구시설,292632.0919,3262.274778
44130UQ155PS202310230018,유치원,4006.944588,252.0012067
44130UQ155PS201611011604,청사(국가),9404.118678,431.3574659
44130UQ155PS200812010846,초등학교,15681.49782,669.2558334
44130UQ155PS202309200031,기타공공청사시설,9469.4937,390.9153867
44130UQ155PS202311210024,기타문화시설,39735.55814,853.5244931
44130UQ155PS200101020105,대학,112554.55,1653.13
44130UQ155PS200408300002,고등학교,20768.42,617.2
44130UQ155PS199508070009,중학교,11380.6,432.71
44130UQ155PS200501060033,중학교,16335,536.46
44130UQ155PS200612200002,고등학교,22558.67,690.63
44130UQ155PS201401210079,초등학교,14106.07,470.59
44130UQ155PS201401020040,초등학교,14071.54,476.8
44130UQ155PS200101180253,고등학교,23102.74,624.07
44130UQ155PS201401210141,초등학교,12142.92,440.48
44130UQ155PS201405010002,기타체육시설,25155.82,781.99
44130UQ155PS199303060017,초등학교,16465.25,550.63
44130UQ155PS201602010476,초등학교,10676.99,407.63
44130UQ155PS200901070026,초등학교,12502.18,444.42
44130UQ155PS201006010002,기타체육시설,52171.12,1089.38
44130UQ155PS201401210172,중학교,13087.52,462.93
44130UQ155PS201509010175,청사(국가),13292.63,473.6
44130UQ155PS199201310001,기타연구시설,308327.93,2814.79
44130UQ155PS202204260060,기타사회복지시설,680.4045255,108.0621051
44130UQ155PS202205110001,청사(국가),9590.177998,434.6578598
44130UQ155PS200812010899,기타체육시설,17839.10718,585.0529872
44130UQ155PS202205230006,기타공공청사시설,17839.10718,585.0529872
44130UQ155PS200904070024,청사(국가),1745.99,169.72
44130UQ155PS202212210012,기타문화시설,1751.92287,229.2320818
44130UQ155PS202302130032,청사(국가),3479.21689,368.4173058
44130UQ155PS201405210004,대학,7262.859852,392.1889342
44130UQ155PS200812010847,중학교,20290.7584,639.185429
44130UQ155PS201308010008,청사(국가),3699.31,246.66
44130UQ155PS200304210001,초등학교,13777.1,475
44130UQ155PS201510264225,초등학교,13647.36,450.27
44130UQ155PS200812010829,초등학교,17536.35,524.75
44130UQ155PS199303060022,초등학교,12881.07,452.56
44130UQ155PS198610150020,대학,250081.19,2440.11
44130UQ155PS200511300037,청사(국가),23139.65,586.22
44130UQ155PS200511300038,청사(국가),23140.53,600.67
44130UQ155PS200511300039,청사(국가),14353.97,476.02
44130UQ155PS200511300040,청사(국가),1653.98,162.85
44130UQ155PS200711150053,청사(국가),1000.04,126.41
44130UQ155PS200711150052,청사(국가),1711.99,167.68
44130UQ155PS200511300043,청사(국가),13164.61,472.37
44130UQ155PS200511300044,청사(국가),12243.83,458.9
44130UQ155PS200511300045,초등학교,12000.04,439.97
44130UQ155PS201706212009,청사(국가),991.98,131.24
44130UQ155PS200511300047,중학교,12035.44,436.95
44130UQ155PS200511300048,고등학교,14043.6,494.65
44130UQ155PS200711150058,유치원,911.97,119.81
44130UQ155PS200711150059,유치원,659.82,99.42
44130UQ155PS200511300051,공공도서관,3219.48,220.34
44130UQ155PS199506190002,고등학교,59344.52,1341.65
44130UQ155PS200810240004,청사(국가),2038.18,199.23
44130UQ155PS201406230026,유치원,3287.11,228.1
44130UQ155PS201810190001,특수학교,15914.86,657.07
44130UQ155PS198104160017,기타학교시설,23049.66,611.94
44130UQ155PS201912270005,청사(국가),999.99,125.75
44130UQ155PS201305130004,기타사회복지시설,9338.06,394.09
44130UQ155PS199303250001,대학,616651.24,7133.2
44130UQ155PS199302230138,대학,92268.46,1934
