grid_id,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection
C00001,213500.000,447000.000,214000.000,447500.000,213750.000,447250.000,500,center_in_cheonan
C00002,213500.000,447500.000,214000.000,448000.000,213750.000,447750.000,500,center_in_cheonan
C00003,213000.000,448000.000,213500.000,448500.000,213250.000,448250.000,500,center_in_cheonan
C00004,213500.000,448000.000,214000.000,448500.000,213750.000,448250.000,500,center_in_cheonan
C00005,212500.000,448500.000,213000.000,449000.000,212750.000,448750.000,500,center_in_cheonan
C00006,213000.000,448500.000,213500.000,449000.000,213250.000,448750.000,500,center_in_cheonan
C00007,213500.000,448500.000,214000.000,449000.000,213750.000,448750.000,500,center_in_cheonan
C00008,207000.000,449000.000,207500.000,449500.000,207250.000,449250.000,500,center_in_cheonan
C00009,212500.000,449000.000,213000.000,449500.000,212750.000,449250.000,500,center_in_cheonan
C00010,213000.000,449000.000,213500.000,449500.000,213250.000,449250.000,500,center_in_cheonan
C00011,213500.000,449000.000,214000.000,449500.000,213750.000,449250.000,500,center_in_cheonan
C00012,205000.000,449500.000,205500.000,450000.000,205250.000,449750.000,500,center_in_cheonan
C00013,205500.000,449500.000,206000.000,450000.000,205750.000,449750.000,500,center_in_cheonan
C00014,206000.000,449500.000,206500.000,450000.000,206250.000,449750.000,500,center_in_cheonan
C00015,206500.000,449500.000,207000.000,450000.000,206750.000,449750.000,500,center_in_cheonan
C00016,207000.000,449500.000,207500.000,450000.000,207250.000,449750.000,500,center_in_cheonan
C00017,207500.000,449500.000,208000.000,450000.000,207750.000,449750.000,500,center_in_cheonan
C00018,211500.000,449500.000,212000.000,450000.000,211750.000,449750.000,500,center_in_cheonan
C00019,212000.000,449500.000,212500.000,450000.000,212250.000,449750.000,500,center_in_cheonan
C00020,212500.000,449500.000,213000.000,450000.000,212750.000,449750.000,500,center_in_cheonan
C00021,213000.000,449500.000,213500.000,450000.000,213250.000,449750.000,500,center_in_cheonan
C00022,201500.000,450000.000,202000.000,450500.000,201750.000,450250.000,500,center_in_cheonan
C00023,205000.000,450000.000,205500.000,450500.000,205250.000,450250.000,500,center_in_cheonan
C00024,205500.000,450000.000,206000.000,450500.000,205750.000,450250.000,500,center_in_cheonan
C00025,206000.000,450000.000,206500.000,450500.000,206250.000,450250.000,500,center_in_cheonan
C00026,206500.000,450000.000,207000.000,450500.000,206750.000,450250.000,500,center_in_cheonan
C00027,207000.000,450000.000,207500.000,450500.000,207250.000,450250.000,500,center_in_cheonan
C00028,207500.000,450000.000,208000.000,450500.000,207750.000,450250.000,500,center_in_cheonan
C00029,208000.000,450000.000,208500.000,450500.000,208250.000,450250.000,500,center_in_cheonan
C00030,211500.000,450000.000,212000.000,450500.000,211750.000,450250.000,500,center_in_cheonan
C00031,212000.000,450000.000,212500.000,450500.000,212250.000,450250.000,500,center_in_cheonan
C00032,212500.000,450000.000,213000.000,450500.000,212750.000,450250.000,500,center_in_cheonan
C00033,213000.000,450000.000,213500.000,450500.000,213250.000,450250.000,500,center_in_cheonan
C00034,213500.000,450000.000,214000.000,450500.000,213750.000,450250.000,500,center_in_cheonan
C00035,201000.000,450500.000,201500.000,451000.000,201250.000,450750.000,500,center_in_cheonan
C00036,201500.000,450500.000,202000.000,451000.000,201750.000,450750.000,500,center_in_cheonan
C00037,202500.000,450500.000,203000.000,451000.000,202750.000,450750.000,500,center_in_cheonan
C00038,203500.000,450500.000,204000.000,451000.000,203750.000,450750.000,500,center_in_cheonan
C00039,204000.000,450500.000,204500.000,451000.000,204250.000,450750.000,500,center_in_cheonan
C00040,204500.000,450500.000,205000.000,451000.000,204750.000,450750.000,500,center_in_cheonan
C00041,205000.000,450500.000,205500.000,451000.000,205250.000,450750.000,500,center_in_cheonan
C00042,205500.000,450500.000,206000.000,451000.000,205750.000,450750.000,500,center_in_cheonan
C00043,206000.000,450500.000,206500.000,451000.000,206250.000,450750.000,500,center_in_cheonan
C00044,206500.000,450500.000,207000.000,451000.000,206750.000,450750.000,500,center_in_cheonan
C00045,207000.000,450500.000,207500.000,451000.000,207250.000,450750.000,500,center_in_cheonan
C00046,207500.000,450500.000,208000.000,451000.000,207750.000,450750.000,500,center_in_cheonan
C00047,208000.000,450500.000,208500.000,451000.000,208250.000,450750.000,500,center_in_cheonan
C00048,208500.000,450500.000,209000.000,451000.000,208750.000,450750.000,500,center_in_cheonan
C00049,211000.000,450500.000,211500.000,451000.000,211250.000,450750.000,500,center_in_cheonan
C00050,211500.000,450500.000,212000.000,451000.000,211750.000,450750.000,500,center_in_cheonan
C00051,212000.000,450500.000,212500.000,451000.000,212250.000,450750.000,500,center_in_cheonan
C00052,212500.000,450500.000,213000.000,451000.000,212750.000,450750.000,500,center_in_cheonan
C00053,213000.000,450500.000,213500.000,451000.000,213250.000,450750.000,500,center_in_cheonan
C00054,213500.000,450500.000,214000.000,451000.000,213750.000,450750.000,500,center_in_cheonan
C00055,201000.000,451000.000,201500.000,451500.000,201250.000,451250.000,500,center_in_cheonan
C00056,201500.000,451000.000,202000.000,451500.000,201750.000,451250.000,500,center_in_cheonan
C00057,202000.000,451000.000,202500.000,451500.000,202250.000,451250.000,500,center_in_cheonan
C00058,202500.000,451000.000,203000.000,451500.000,202750.000,451250.000,500,center_in_cheonan
C00059,203000.000,451000.000,203500.000,451500.000,203250.000,451250.000,500,center_in_cheonan
C00060,203500.000,451000.000,204000.000,451500.000,203750.000,451250.000,500,center_in_cheonan
C00061,204000.000,451000.000,204500.000,451500.000,204250.000,451250.000,500,center_in_cheonan
C00062,204500.000,451000.000,205000.000,451500.000,204750.000,451250.000,500,center_in_cheonan
C00063,205000.000,451000.000,205500.000,451500.000,205250.000,451250.000,500,center_in_cheonan
C00064,205500.000,451000.000,206000.000,451500.000,205750.000,451250.000,500,center_in_cheonan
C00065,206000.000,451000.000,206500.000,451500.000,206250.000,451250.000,500,center_in_cheonan
C00066,206500.000,451000.000,207000.000,451500.000,206750.000,451250.000,500,center_in_cheonan
C00067,207000.000,451000.000,207500.000,451500.000,207250.000,451250.000,500,center_in_cheonan
C00068,207500.000,451000.000,208000.000,451500.000,207750.000,451250.000,500,center_in_cheonan
C00069,208000.000,451000.000,208500.000,451500.000,208250.000,451250.000,500,center_in_cheonan
C00070,208500.000,451000.000,209000.000,451500.000,208750.000,451250.000,500,center_in_cheonan
C00071,209000.000,451000.000,209500.000,451500.000,209250.000,451250.000,500,center_in_cheonan
C00072,209500.000,451000.000,210000.000,451500.000,209750.000,451250.000,500,center_in_cheonan
C00073,210000.000,451000.000,210500.000,451500.000,210250.000,451250.000,500,center_in_cheonan
C00074,210500.000,451000.000,211000.000,451500.000,210750.000,451250.000,500,center_in_cheonan
C00075,211000.000,451000.000,211500.000,451500.000,211250.000,451250.000,500,center_in_cheonan
