grid_id,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection,center_adm_cd,center_adm_nm
C00001,213000.0,447000.0,213750.0,447750.0,213375.0,447375.0,750,center_in_cheonan,34011320,광덕면
C00002,213750.0,447000.0,214500.0,447750.0,214125.0,447375.0,750,center_in_cheonan,34011320,광덕면
C00003,213000.0,447750.0,213750.0,448500.0,213375.0,448125.0,750,center_in_cheonan,34011320,광덕면
C00004,212250.0,448500.0,213000.0,449250.0,212625.0,448875.0,750,center_in_cheonan,34011320,광덕면
C00005,213000.0,448500.0,213750.0,449250.0,213375.0,448875.0,750,center_in_cheonan,34011320,광덕면
C00006,206250.0,449250.0,207000.0,450000.0,206625.0,449625.0,750,center_in_cheonan,34011320,광덕면
C00007,207000.0,449250.0,207750.0,450000.0,207375.0,449625.0,750,center_in_cheonan,34011320,광덕면
C00008,212250.0,449250.0,213000.0,450000.0,212625.0,449625.0,750,center_in_cheonan,34011320,광덕면
C00009,213000.0,449250.0,213750.0,450000.0,213375.0,449625.0,750,center_in_cheonan,34011320,광덕면
C00010,204750.0,450000.0,205500.0,450750.0,205125.0,450375.0,750,center_in_cheonan,34011320,광덕면
C00011,205500.0,450000.0,206250.0,450750.0,205875.0,450375.0,750,center_in_cheonan,34011320,광덕면
C00012,206250.0,450000.0,207000.0,450750.0,206625.0,450375.0,750,center_in_cheonan,34011320,광덕면
C00013,207000.0,450000.0,207750.0,450750.0,207375.0,450375.0,750,center_in_cheonan,34011320,광덕면
C00014,207750.0,450000.0,208500.0,450750.0,208125.0,450375.0,750,center_in_cheonan,34011320,광덕면
C00015,211500.0,450000.0,212250.0,450750.0,211875.0,450375.0,750,center_in_cheonan,34011320,광덕면
C00016,212250.0,450000.0,213000.0,450750.0,212625.0,450375.0,750,center_in_cheonan,34011320,광덕면
C00017,213000.0,450000.0,213750.0,450750.0,213375.0,450375.0,750,center_in_cheonan,34011320,광덕면
C00018,201000.0,450750.0,201750.0,451500.0,201375.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00019,201750.0,450750.0,202500.0,451500.0,202125.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00020,202500.0,450750.0,203250.0,451500.0,202875.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00021,203250.0,450750.0,204000.0,451500.0,203625.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00022,204000.0,450750.0,204750.0,451500.0,204375.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00023,204750.0,450750.0,205500.0,451500.0,205125.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00024,205500.0,450750.0,206250.0,451500.0,205875.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00025,206250.0,450750.0,207000.0,451500.0,206625.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00026,207000.0,450750.0,207750.0,451500.0,207375.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00027,207750.0,450750.0,208500.0,451500.0,208125.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00028,208500.0,450750.0,209250.0,451500.0,208875.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00029,209250.0,450750.0,210000.0,451500.0,209625.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00030,210000.0,450750.0,210750.0,451500.0,210375.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00031,210750.0,450750.0,211500.0,451500.0,211125.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00032,211500.0,450750.0,212250.0,451500.0,211875.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00033,212250.0,450750.0,213000.0,451500.0,212625.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00034,213000.0,450750.0,213750.0,451500.0,213375.0,451125.0,750,center_in_cheonan,34011320,광덕면
C00035,213750.0,450750.0,214500.0,451500.0,214125.0,451125.0,750,center_in_cheonan,34011320,광덕면
