address_key,provider,status,matched_query,lon,lat,score_or_type,raw_name,message
충청남도 천안시 동남구 각원사길 187-22 (안서동),gimi9,ok,충청남도 천안시 동남구 각원사길 187-22 (안서동),127.19122724205164,36.83408865606695,도로명 주소,신안동,
충청남도 천안시 동남구 각원사길 69,gimi9,ok,충청남도 천안시 동남구 각원사길 69,127.18040811005984,36.830679574545776,도로명 주소,신안동,
충청남도 천안시 동남구 개목2길 1 (봉명동),gimi9,ok,충청남도 천안시 동남구 개목2길 1 (봉명동),127.13139903344356,36.81503254990809,도로명 주소,봉명동,
충청남도 천안시 동남구 고재15길 15,gimi9,ok,충청남도 천안시 동남구 고재15길 15,127.1608340493683,36.8014178364324,도로명 주소,원성2동,
"충청남도 천안시 동남구 고재20길 7, 201호 (원성동)",gimi9,ok,"충청남도 천안시 동남구 고재20길 7, 201호 (원성동)",127.15984871944065,36.80369573772505,도로명 주소,원성2동,
충청남도 천안시 동남구 고재4길 23,gimi9,ok,충청남도 천안시 동남구 고재4길 23,127.1616100566406,36.80084310685122,도로명 주소,원성2동,
충청남도 천안시 동남구 고재4길 55(원성동),gimi9,ok,충청남도 천안시 동남구 고재4길 55(원성동),127.16158611512192,36.80373675281493,도로명 주소,원성2동,
"충청남도 천안시 동남구 공설시장1길 2, 3층 (대흥동)",gimi9,ok,"충청남도 천안시 동남구 공설시장1길 2, 3층 (대흥동)",127.14889368198006,36.80919891218586,도로명 주소,중앙동,
"충청남도 천안시 동남구 공설시장1길 31-1, 1층 (대흥동)",gimi9,ok,"충청남도 천안시 동남구 공설시장1길 31-1, 1층 (대흥동)",127.14942041608111,36.81169752970096,도로명 주소,중앙동,
충청남도 천안시 동남구 공설시장1길 9 (대흥동),gimi9,ok,충청남도 천안시 동남구 공설시장1길 9 (대흥동),127.1489016822115,36.80990208015901,도로명 주소,중앙동,
"충청남도 천안시 동남구 공설시장2길 3, 3층(대흥동)",gimi9,ok,"충청남도 천안시 동남구 공설시장2길 3, 3층(대흥동)",127.14933172602524,36.80901991119154,도로명 주소,중앙동,
충청남도 천안시 동남구 공설시장2길 8-9 (문화동),gimi9,ok,충청남도 천안시 동남구 공설시장2길 8-9 (문화동),127.15077722213726,36.80917741409228,도로명 주소,문성동,
충청남도 천안시 동남구 공설시장2길 9-2 (대흥동),gimi9,ok,충청남도 천안시 동남구 공설시장2길 9-2 (대흥동),127.14956460546296,36.80957950729185,도로명 주소,중앙동,
충청남도 천안시 동남구 공설시장3길 10 (대흥동),gimi9,ok,충청남도 천안시 동남구 공설시장3길 10 (대흥동),127.1491724717251,36.80952426311582,도로명 주소,중앙동,
충청남도 천안시 동남구 광덕면 개천골길 8,gimi9,ok,충청남도 천안시 동남구 광덕면 개천골길 8,127.07052894097684,36.69869156812948,도로명 주소,광덕면,
충청남도 천안시 동남구 광덕면 광덕로 534,gimi9,ok,충청남도 천안시 동남구 광덕면 광덕로 534,127.15703884939514,36.68702752232885,도로명 주소,광덕면,
충청남도 천안시 동남구 광덕면 광덕리 650-10,gimi9,ok,충청남도 천안시 동남구 광덕면 광덕리 650-10,127.0449438488362,36.67291329082848,도로명 주소,광덕면,
충청남도 천안시 동남구 광덕면 대평리 360,gimi9,ok,충청남도 천안시 동남구 광덕면 대평리 360,127.14248556612804,36.675391601447096,지번 주소,광덕면,
충청남도 천안시 동남구 광덕면 대평리 367,gimi9,ok,충청남도 천안시 동남구 광덕면 대평리 367,127.13578212157796,36.67058439021299,지번 주소,광덕면,
충청남도 천안시 동남구 광덕면 밤나무골길38(천안추모공원),gimi9,ok,충청남도 천안시 동남구 광덕면 밤나무골길38(천안추모공원),127.1165713003129,36.66530447618725,도로명 주소,광덕면,
충청남도 천안시 동남구 광덕면 보산원2길 33,gimi9,ok,충청남도 천안시 동남구 광덕면 보산원2길 33,127.07615224775256,36.68582051825301,도로명 주소,광덕면,
충청남도 천안시 동남구 광덕면 신흥리 368-3,gimi9,ok,충청남도 천안시 동남구 광덕면 신흥리 368-3,127.10204901551484,36.69525826834844,도로명 주소,광덕면,
